country,technology,politics,education,health,happiness,economic,equality,poverty
Afghanistan,-0.6918033137568406,-1.4770516289865014,-1.0153251655087117,-1.1871825094569028,-1.1907822020137269,-1.572206668364325,-0.2987392782068026,-1.261890108728941
Albania,-0.645309821131171,-0.24733655968457866,0.6491414841453671,0.7168828337307407,-0.7011849675800667,-0.1304839623550866,0.768457550981167,0.6253572225379643
Algeria,-0.04660617694060404,-0.46716758438589034,-0.0030849010625067217,0.329664331388187,-1.3251793225780901,-0.1030900978820154,1.2704291150023523,0.6304050707056585
Angola,-0.8359816950205519,-1.1331780461473397,-1.7099458099968299,-1.586246417259233,-1.0799775718649947,-0.18175650022511103,-1.7244317705137093,-1.290482305906145
Argentina,0.17326894186829062,-0.18776836921688383,1.1138747723782692,0.5818866894749268,0.056493240662948585,0.5722585917318661,-0.4430133219927215,0.7086882364569277
Armenia,-0.3652698430083033,-0.22459884357368304,0.5922323617684573,0.4225552011983492,-1.3902397193361071,-0.2446666576636023,0.7901290771839881,0.8224797125900664
Australia,0.5333406107394943,1.7765296318188102,1.7894237926900762,1.123331831407378,1.3369673766296408,1.6394534483885437,0.4764705355878556,0.6278811466218114
Austria,0.3779255827522557,1.60131825939837,1.0736308576135767,1.070079751812445,0.8354673309791103,1.5126589876465744,0.9807272701186094,0.6258620073547337
Azerbaijan,-0.35444749959280764,-0.5695555259461458,0.1047030987737308,0.03042858488320959,-1.0314519913950189,0.05978340641238219,0.0728338001030137,0.4125564006206112
Bahrain,-0.03225296096398961,0.2657011724786912,0.48547768111513945,0.7127720846899652,0.38071397567734816,1.0038978554643985,0.0728338001030137,0.4125564006206112
Bangladesh,-0.6727951473210173,-0.8066761821508588,-0.6607072285769218,-0.17989107283412914,-0.571749785039918,-1.0211148869837126,0.63270414310666645,-0.42645934600849345
Belarus,-0.4395409965922879,-0.46192797355940696,1.4049394134269035,0.5538408744827088,-1.050391379511266,0.13118971763746937,1.4487331138645476,0.2823774906205613
Belgium,0.2962920182004849,1.6190022680648442,1.085648158542075,1.0480032194786004,0.43536867521030986,1.460052186653247,1.3130987535675862,0.6445390455752024
Belize,-0.6572126239908781,-0.5189692487816093,-0.2968462435359649,0.3749246458087719,0.63537329279489,-0.0993741305429634,-0.2987392782068026,1.2198290892022787
Benin,-0.5123812164107014,-0.395471825718291,-0.9425119002458826,-1.5472762229538795,-0.3464026203341817,-1.0658349505679787,-0.6947035760136133,-1.2144039950650538
Bhutan,-0.6883651627890457,0.8240255585646492,-0.6694582108969219,-0.16941839883442514,1.0826234583567096,-0.4582749127329205,-0.04842555772736639,0.5572112722740923
Bolivia,0.17119269709797935,-0.5028499172465708,0.2109319192717506,-0.14155247942527416,0.32524054236462097,-0.4235885011560904,-0.8994624254766888,-0.037815767474345785
Bosnia and Herzegovina,0.04820396884911743,-0.37265361478938736,0.23573032673395752,0.7398521472964936,-0.9995989177117132,-0.028046280346042406,0.642296597889823,0.9198616881352097
Botswana,-0.04813299822085537,0.732642865436182,-0.5024157427386929,-0.6640472787797401,-0.25940806200103095,0.1852662653522105,-2.0827025808224255,-0.08134152093922754
Brazil,0.36413824259314576,-0.1780375856298328,0.39647404209874626,0.4166424586142214,0.0558409992943771,0.4650258420407183,-1.9935478323579636,0.5597700203076681
Bulgaria,0.21880186979694385,0.04369984354060523,0.8515732570050212,0.5702891840067843,-1.0122893126179542,0.2660322326624265,0.01449974143100886,0.5572112722740923
Burkina Faso,-0.8531787482540217,-0.3865894253947388,-1.511372986503651,-1.5362166219236602,-0.5176432345143624,-1.375635459006385,-0.5754400977027461,-1.126365840399937
Burundi,-1.3053046002402942,-1.218581635541364,-1.5349512572427964,-1.2493997273115374,-0.8653184533097212,-2.1107544595916505,-0.16345274482748487,-1.8021309685560905
Cabo Verde,-0.7450816545538768,0.4593955409872619,-0.29052930829931967,0.18720231907517787,-0.11314191760569502,-0.31566636463296105,-0.6005396017483822,0.4789696256748317
Cambodia,-1.317795084755237,-0.9427309670541951,-0.8935306271553327,-0.28969444646415266,1.0521122628726334,-1.0609819074562186,-0.2987392782068026,-0.49496052491980896
Cameroon,-0.3321809592644957,-0.8612799639845503,-0.9786294230846443,-1.6295294515473402,-0.09142116775315151,-0.901692109952863,-1.1108473582401266,-0.35662733627191406
Canada,0.42012279798790564,1.9073716310073419,0.9655872342024208,1.0622504570704683,1.4072487778515341,1.501814064607646,0.6239115111376141,1.069979545911832
Central African Republic,0.051577169246833456,-1.3106312178399073,-1.760547012334325,-2.7262677743107266,-0.559045127935684,-1.7072629997018864,0.0728338001030137,-2.3673893908814194
Chad,-1.42180398314784,-1.3321023940677854,-1.6591827539833448,-2.2994449816761215,-0.9184532988162095,-1.2882283216566708,-0.3362730419859026,-1.602730370141454
Chile,0.15375867861973816,1.2700673991826108,1.1005851739031898,0.8807917311081515,0.46908156499257925,0.681904000010975,-1.0334300983882787,0.8852853513051977
China,0.9271409746164274,0.04800098797871355,0.02578537702536094,0.6034570679381098,-0.013491982470240341,0.23106485004806185,-0.26605771803615436,0.4656573727313942
Colombia,-0.6539464357830664,-0.1612217998410064,0.31993460752055136,0.5372186839268273,0.4495870365220995,0.16979532398745728,-1.8484916568490244,0.5205137474871804
Comoros,-0.30431237724805393,-1.2471248672055553,-1.0303603608195542,-1.1906579347097208,-0.6051334939130738,-0.9441885481817807,-0.923798403680751,-0.8072946142243925
"Congo, Dem. Rep.",-1.5342182316895336,-1.3796846082648617,-1.1197654343188452,-1.8746789940524036,-0.740898859992786,-1.6949446509988488,-0.5573744583885263,-2.3562272194843765
